scenario,A,B,C,D,J1,J2,J3,status,evacuation_time,remaining_agents,cyclic,trapped_agents,trapped_rooms,cycles
D_extreme,22,21,21,36,C,C,J1,PASS,50.59,0,False,0,,
D_extreme,22,21,21,36,A,C,B,PASS,52.26,0,False,0,,
D_extreme,22,21,21,36,A,J1,B,PASS,52.26,0,False,0,,
D_extreme,22,21,21,36,C,C,B,PASS,52.26,0,False,0,,
D_extreme,22,21,21,36,C,J1,B,PASS,53.120000000000005,0,False,0,,
D_extreme,22,21,21,36,C,J1,A,PASS,53.120000000000005,0,False,0,,
D_extreme,22,21,21,36,A,J3,A,PASS,56.9,0,False,0,,
D_extreme,22,21,21,36,A,J1,A,PASS,57.17,0,False,0,,
D_extreme,22,21,21,36,A,C,J2,PASS,57.22,0,False,0,,
D_extreme,22,21,21,36,C,C,J2,PASS,57.410000000000004,0,False,0,,
D_extreme,22,21,21,36,C,J1,J1,PASS,58.18,0,False,0,,
D_extreme,22,21,21,36,A,J1,J1,PASS,59.5,0,False,0,,
D_extreme,22,21,21,36,C,J3,J1,PASS,61.54,0,False,0,,
D_extreme,22,21,21,36,A,J3,J1,PASS,62.26,0,False,0,,
D_extreme,22,21,21,36,J2,J3,A,PASS,68.58,0,False,0,,
D_extreme,22,21,21,36,J3,C,J2,PASS,72.81,0,False,0,,
D_extreme,22,21,21,36,J3,C,B,PASS,74.69,0,False,0,,
D_extreme,22,21,21,36,A,J3,B,PASS,79.33,0,False,0,,
D_extreme,22,21,21,36,C,J3,B,PASS,79.33,0,False,0,,
D_extreme,22,21,21,36,J2,C,A,PASS,81.06,0,False,0,,
D_extreme,22,21,21,36,J2,C,B,PASS,81.06,0,False,0,,
D_extreme,22,21,21,36,J3,J1,B,PASS,93.84,0,False,0,,
D_extreme,22,21,21,36,J3,J3,B,PASS,94.22,0,False,0,,
D_extreme,22,21,21,36,J2,J3,B,PASS,100.63,0,False,0,,
D_extreme,22,21,21,36,J2,C,J2,PASS,103.13,0,False,0,,
D_extreme,22,21,21,36,J2,C,J1,PASS,123.29,0,False,0,,
D_extreme,22,21,21,36,A,J1,J2,PASS,141.15,0,False,0,,
D_extreme,22,21,21,36,J3,C,A,TIMEOUT,180.0,2,False,0,,
D_extreme,22,21,21,36,J3,J1,A,TIMEOUT,180.0,2,False,0,,
D_extreme,22,21,21,36,J3,J3,A,TIMEOUT,180.0,2,False,0,,
D_extreme,22,21,21,36,C,J1,J2,TIMEOUT,180.0,5,False,0,,
D_extreme,22,21,21,36,A,J3,J2,CYCLIC,,42,True,42,"B,C","(('J2', 'J3'),)"
D_extreme,22,21,21,36,C,J3,J2,CYCLIC,,42,True,42,"B,C","(('J2', 'J3'),)"
D_extreme,22,21,21,36,J2,J1,B,CYCLIC,,43,True,43,"A,C","(('J1', 'J2'),)"
D_extreme,22,21,21,36,J2,J1,A,CYCLIC,,43,True,43,"A,C","(('J1', 'J2'),)"
D_extreme,22,21,21,36,J3,C,J1,CYCLIC,,43,True,43,"A,B","(('J1', 'J3'),)"
D_extreme,22,21,21,36,J2,J1,J1,CYCLIC,,64,True,64,"A,B,C","(('J1', 'J2'),)"
D_extreme,22,21,21,36,J2,J1,J2,CYCLIC,,64,True,64,"A,B,C","(('J1', 'J2'),)"
D_extreme,22,21,21,36,J2,J3,J1,CYCLIC,,64,True,64,"A,B,C","(('J1', 'J2', 'J3'),)"
D_extreme,22,21,21,36,J2,J3,J2,CYCLIC,,64,True,64,"A,B,C","(('J2', 'J3'),)"
D_extreme,22,21,21,36,J3,J1,J1,CYCLIC,,64,True,64,"A,B,C","(('J1', 'J3'),)"
D_extreme,22,21,21,36,J3,J1,J2,CYCLIC,,64,True,64,"A,B,C","(('J1', 'J2', 'J3'),)"
D_extreme,22,21,21,36,J3,J3,J1,CYCLIC,,64,True,64,"A,B,C","(('J1', 'J3'),)"
D_extreme,22,21,21,36,J3,J3,J2,CYCLIC,,64,True,64,"A,B,C","(('J2', 'J3'),)"
