action,policy,population,elapsed_time,remaining_agents,episode_reward,discounted_return,steps
25,J2CA,A_extreme,159.04,0,-1.2638333333333331,-1.1018961663630171,32
25,J2CA,B_extreme,74.02,0,-0.5737222222222221,-0.5406693401633255,15
25,J2CA,C_extreme,103.34,0,-0.8074444444444445,-0.7404887969511156,21
25,J2CA,D_extreme,79.7,0,-0.5908333333333333,-0.5533972116772982,16
26,J2J3B,balanced,118.55,0,-0.9927777777777778,-0.8983835378535063,24
26,J2J3B,A_extreme,91.32000000000001,0,-0.7826111111111111,-0.7255107338745874,19
26,J2J3B,B_extreme,180.0,9,-1.572777777777778,-1.3473508059227075,36
26,J2J3B,C_extreme,106.26,0,-0.8939444444444447,-0.8181057773194863,22
26,J2J3B,D_extreme,107.92,0,-0.8595555555555557,-0.7849084337513922,22
27,J2J3A,balanced,65.58,0,-0.5254444444444444,-0.4983705863721382,14
27,J2J3A,A_extreme,79.16,0,-0.640888888888889,-0.600889340531163,16
27,J2J3A,B_extreme,71.12,0,-0.5792777777777777,-0.5468056540282752,15
27,J2J3A,C_extreme,73.71000000000001,0,-0.5931111111111111,-0.5587161841431556,15
27,J2J3A,D_extreme,64.41,0,-0.4933888888888889,-0.4685549899182212,13
28,J3CB,balanced,88.62,0,-0.7115,-0.6614888606109672,18
28,J3CB,A_extreme,83.02,0,-0.6942777777777778,-0.6485227196006536,17
28,J3CB,B_extreme,133.54,0,-1.1099444444444442,-0.9905190766092739,27
28,J3CB,C_extreme,71.32000000000001,0,-0.5948333333333333,-0.5615771071676822,15
28,J3CB,D_extreme,81.24,0,-0.6266111111111111,-0.5862237615170434,17
29,J3CJ2,balanced,79.32000000000001,0,-0.6420555555555555,-0.601807248700671,16
29,J3CJ2,A_extreme,89.52,0,-0.7409444444444443,-0.6884605798917747,18
29,J3CJ2,B_extreme,85.43,0,-0.704611111111111,-0.6569413917375638,18
29,J3CJ2,C_extreme,83.78,0,-0.6965555555555556,-0.650270290843248,17
29,J3CJ2,D_extreme,74.26,0,-0.583388888888889,-0.5491062697383322,15
30,J3CA,balanced,180.0,2,-1.1766666666666663,-1.0110626149296724,36
30,J3CA,A_extreme,111.67,0,-0.8812222222222222,-0.8027530164901022,23
30,J3CA,B_extreme,96.7,0,-0.7508333333333335,-0.6931356477024769,20
30,J3CA,C_extreme,180.0,2,-1.1741666666666664,-1.0093557899273604,36
30,J3CA,D_extreme,180.0,2,-1.141111111111111,-0.9778671114416808,36
31,J3J1B,balanced,108.85000000000001,0,-0.9083333333333334,-0.829335648520598,22
31,J3J1B,A_extreme,94.89,0,-0.8177222222222221,-0.755650941989039,19
31,J3J1B,B_extreme,175.3,0,-1.5022222222222226,-1.294558064722664,36
31,J3J1B,C_extreme,105.4,0,-0.8988888888888891,-0.8229294384292991,22
31,J3J1B,D_extreme,92.77,0,-0.7470555555555556,-0.6912852405751708,19
32,J3J1A,balanced,180.0,2,-1.2974999999999999,-1.1177807645042694,36
32,J3J1A,A_extreme,160.85,0,-1.3413888888888885,-1.1688246213305633,33
32,J3J1A,B_extreme,180.0,2,-1.3924999999999998,-1.1983566292642827,36
32,J3J1A,C_extreme,180.0,2,-1.3277777777777777,-1.1436930835644847,36
32,J3J1A,D_extreme,180.0,2,-1.205833333333333,-1.0364344951630167,36
33,J3J3B,balanced,118.42,0,-0.9862222222222222,-0.8929568051634369,24
33,J3J3B,A_extreme,108.97,0,-0.9176111111111112,-0.8382146978306437,22
33,J3J3B,B_extreme,174.97,0,-1.5198333333333331,-1.309271774909256,35
33,J3J3B,C_extreme,116.28,0,-0.9690555555555553,-0.8795577353941758,24
33,J3J3B,D_extreme,101.59,0,-0.8121666666666668,-0.7457933545872648,21
34,J3J3A,balanced,180.0,2,-1.2452777777777777,-1.0729965386127924,36
34,J3J3A,A_extreme,180.0,2,-1.3580555555555553,-1.1711411039616595,36
34,J3J3A,B_extreme,180.0,2,-1.2886111111111112,-1.1112349711164882,36
34,J3J3A,C_extreme,102.26,0,-0.8239444444444443,-0.7568463201534077,21
34,J3J3A,D_extreme,180.0,2,-1.1905555555555554,-1.0230365070794412,36
