pre_action,pre_policy,post_action,post_policy,surge_room,surge_time,elapsed_time,remaining_agents,episode_reward,steps,error
14,CCA,32,J3J1A,C,30.0,117.43,0,-0.8371111111111113,12,
14,CCA,33,J3J3B,C,30.0,81.86,0,-0.5922777777777778,9,
14,CCA,34,J3J3A,C,30.0,82.32000000000001,0,-0.5925185185185186,9,
14,CCA,0,ACB,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,1,ACJ1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,2,ACJ2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,3,ACA,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,4,AJ1B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,5,AJ1J1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,6,AJ1J2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,7,AJ1A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,8,AJ3B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,9,AJ3J1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,10,AJ3A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,11,CCB,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,12,CCJ1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,13,CCJ2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,14,CCA,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,15,CJ1B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,16,CJ1J1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,17,CJ1J2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,18,CJ1A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,19,CJ3B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,20,CJ3J1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,21,CJ3A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,22,J2CB,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,23,J2CJ1,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,24,J2CJ2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,25,J2CA,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,26,J2J3B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,27,J2J3A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,28,J3CB,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,29,J3CJ2,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,30,J3CA,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,31,J3J1B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,32,J3J1A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,33,J3J3B,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,34,J3J3A,D,20.0,41.32,0,-0.3175185185185185,5,
14,CCA,0,ACB,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,1,ACJ1,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,2,ACJ2,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,3,ACA,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,4,AJ1B,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,5,AJ1J1,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,6,AJ1J2,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,7,AJ1A,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,8,AJ3B,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,9,AJ3J1,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,10,AJ3A,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,11,CCB,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,12,CCJ1,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,13,CCJ2,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,14,CCA,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,15,CJ1B,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,16,CJ1J1,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,17,CJ1J2,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,18,CJ1A,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,19,CJ3B,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,20,CJ3J1,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,21,CJ3A,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,22,J2CB,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,23,J2CJ1,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,24,J2CJ2,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,25,J2CA,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,26,J2J3B,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,27,J2J3A,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,28,J3CB,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,29,J3CJ2,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,30,J3CA,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,31,J3J1B,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,32,J3J1A,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,33,J3J3B,D,30.0,48.69,0,-0.358462962962963,5,
14,CCA,34,J3J3A,D,30.0,48.69,0,-0.358462962962963,5,
